runId,batchId,recoveryMode,faultProfile,repetition,valid,status,runtimeResolved,oracleSucceeded,diagnosisCorrect,actionSequenceCorrect,unnecessaryActionCount,faultToDetectionMs,timeToHealMs,timeToTerminationMs,unhealthyConfirmationDelayMs,timeToFirstActionMs,recoveryLoopDurationMs,observedTimeToHealMs,decisionCount,actionCount,blockedActionCount,failedActionCount,successfulActionCount,safetyMaintained,modelCallCount,modelTotalTokens,exclusionReason
experiment-run-35d90697-3db6-4cd2-9118-5246b73dd323,experiment-batch-689566b1-a412-438d-87ce-87bb418bfba4,agent,managed_system_application_stopped,1,true,completed,true,true,true,true,0,18710,82559,80808,37513,11413,13635,51148,2,1,0,0,1,true,10,22686,
experiment-run-04c244c3-d638-4539-9a11-07505898c47b,experiment-batch-689566b1-a412-438d-87ce-87bb418bfba4,agent,managed_system_application_stopped,2,true,completed,true,true,true,true,0,6311,69463,67611,33658,10146,12398,46056,2,1,0,0,1,true,11,26148,
